id,geographic-area-name,median-income
0500000US12119,"Sumter County, Florida",60287
0500000US12127,"Volusia County, Florida",53766
0500000US12131,"Walton County, Florida",60457
0500000US13013,"Barrow County, Georgia",69890
0500000US13015,"Bartow County, Georgia",59911
0500000US13021,"Bibb County, Georgia",42140
0500000US13031,"Bulloch County, Georgia",50436
0500000US13045,"Carroll County, Georgia",61133
0500000US13047,"Catoosa County, Georgia",61487
0500000US13051,"Chatham County, Georgia",57611
0500000US13057,"Cherokee County, Georgia",86404
0500000US13059,"Clarke County, Georgia",39799
0500000US13063,"Clayton County, Georgia",51093
0500000US13067,"Cobb County, Georgia",79601
0500000US13073,"Columbia County, Georgia",88761
0500000US13077,"Coweta County, Georgia",78423
0500000US13089,"DeKalb County, Georgia",63652
0500000US13095,"Dougherty County, Georgia",35062
0500000US13097,"Douglas County, Georgia",62669
0500000US13113,"Fayette County, Georgia",92172
0500000US13115,"Floyd County, Georgia",50880
0500000US13117,"Forsyth County, Georgia",112108
0500000US13121,"Fulton County, Georgia",80013
0500000US13127,"Glynn County, Georgia",59004
0500000US13135,"Gwinnett County, Georgia",72109
0500000US13139,"Hall County, Georgia",67467
0500000US13151,"Henry County, Georgia",71939
0500000US13153,"Houston County, Georgia",66740
0500000US13157,"Jackson County, Georgia",65063
0500000US13185,"Lowndes County, Georgia",45683
0500000US13215,"Muscogee County, Georgia",46934
0500000US13217,"Newton County, Georgia",57254
0500000US13223,"Paulding County, Georgia",75800
0500000US13245,"Richmond County, Georgia",44973
0500000US13247,"Rockdale County, Georgia",60560
0500000US13255,"Spalding County, Georgia",51677
0500000US13285,"Troup County, Georgia",46198
0500000US13295,"Walker County, Georgia",47856
0500000US13297,"Walton County, Georgia",66176
0500000US13313,"Whitfield County, Georgia",52198
0500000US15001,"Hawaii County, Hawaii",67075
0500000US15003,"Honolulu County, Hawaii",87470
0500000US15007,"Kauai County, Hawaii",81971
0500000US15009,"Maui County, Hawaii",80754
0500000US16001,"Ada County, Idaho",72021
0500000US16005,"Bannock County, Idaho",51989
0500000US16019,"Bonneville County, Idaho",64618
0500000US16027,"Canyon County, Idaho",58945
0500000US16055,"Kootenai County, Idaho",62579
0500000US16083,"Twin Falls County, Idaho",56276
0500000US17001,"Adams County, Illinois",55727
0500000US17019,"Champaign County, Illinois",52405
0500000US17031,"Cook County, Illinois",69429
0500000US17037,"DeKalb County, Illinois",64131
0500000US17043,"DuPage County, Illinois",96403
0500000US17089,"Kane County, Illinois",84368
0500000US17091,"Kankakee County, Illinois",60923
0500000US17093,"Kendall County, Illinois",104858
0500000US17097,"Lake County, Illinois",92511
0500000US17099,"LaSalle County, Illinois",59130
0500000US17111,"McHenry County, Illinois",88879
0500000US17113,"McLean County, Illinois",68784
0500000US17115,"Macon County, Illinois",50839
0500000US17119,"Madison County, Illinois",67440
0500000US17143,"Peoria County, Illinois",57247
0500000US17161,"Rock Island County, Illinois",58313
0500000US17163,"St. Clair County, Illinois",57169
0500000US17167,"Sangamon County, Illinois",61280
0500000US17179,"Tazewell County, Illinois",65848
0500000US17183,"Vermilion County, Illinois",43111
0500000US17197,"Will County, Illinois",90134
0500000US17199,"Williamson County, Illinois",58097
0500000US17201,"Winnebago County, Illinois",59455
0500000US18003,"Allen County, Indiana",56519
0500000US18005,"Bartholomew County, Indiana",72555
0500000US18011,"Boone County, Indiana",70813
0500000US18019,"Clark County, Indiana",59064
0500000US18035,"Delaware County, Indiana",45065
0500000US18039,"Elkhart County, Indiana",54531
0500000US18043,"Floyd County, Indiana",63219
0500000US18053,"Grant County, Indiana",47206
0500000US18057,"Hamilton County, Indiana",105062
0500000US18059,"Hancock County, Indiana",69392
0500000US18063,"Hendricks County, Indiana",85381
0500000US18067,"Howard County, Indiana",53440
0500000US18081,"Johnson County, Indiana",73651
0500000US18085,"Kosciusko County, Indiana",64099
0500000US18089,"Lake County, Indiana",57081
0500000US18091,"LaPorte County, Indiana",56019
0500000US18095,"Madison County, Indiana",55142
0500000US18097,"Marion County, Indiana",50458
0500000US18105,"Monroe County, Indiana",52453
0500000US18109,"Morgan County, Indiana",62862
0500000US18127,"Porter County, Indiana",72483
0500000US18141,"St. Joseph County, Indiana",53456
0500000US18157,"Tippecanoe County, Indiana",49352
0500000US18163,"Vanderburgh County, Indiana",51350
0500000US18167,"Vigo County, Indiana",48013
0500000US18177,"Wayne County, Indiana",47944
0500000US19013,"Black Hawk County, Iowa",60506
0500000US19049,"Dallas County, Iowa",94885
0500000US19061,"Dubuque County, Iowa",62178
0500000US19103,"Johnson County, Iowa",66011
