,date,state,abbr,county,fips,population,ccvi score,cases,case rate,deaths,death rate,median income 2018,uninsured percent,fair or poor health percent,socioeconomic status,household composition and disability,minority status and language,housing type and transportation,epidemiological factors,healthcare system factors
62,9/30/2020,Alabama,AL,Tuscaloosa,1125,"209,355",0.485,9029,0.09029,118,0.00118,"52,557",0.09,0.2,0.507,0.111,0.643,0.20800000000000002,0.541,0.667
63,9/30/2020,Alabama,AL,Walker,1127,"63,521",0.625,2369,0.02369,87,0.00087,"45,434",0.12,0.24,0.86,0.8390000000000001,0.32,0.457,0.15,0.805
65,9/30/2020,Alabama,AL,Wilcox,1131,"10,373",0.981,532,0.00532,11,0.00011,"25,385",0.11,0.29,0.986,0.6970000000000001,0.865,0.7170000000000001,0.747,0.919
93,9/30/2020,Arizona,AZ,Apache,4001,"71,887",0.985,3554,0.03554,165,0.00165,"33,652",0.19,0.26,0.965,0.6759999999999999,0.971,0.965,0.664,0.741
96,9/30/2020,Arizona,AZ,Gila,4007,"54,018",0.745,1346,0.01346,56,0.00056,"43,585",0.13,0.19,0.737,0.758,0.7490000000000001,0.565,0.44299999999999995,0.607
97,9/30/2020,Arizona,AZ,Graham,4009,"38,837",0.741,851,0.00851,25,0.00025,"50,157",0.1,0.19,0.7829999999999999,0.462,0.8959999999999999,0.914,0.48,0.319
98,9/30/2020,Arizona,AZ,Greenlee,4011,"9,498",0.682,59,0.00059,2,2e-05,"65,818",0.09,0.18,0.526,0.564,0.929,0.672,0.11599999999999999,0.72
99,9/30/2020,Arizona,AZ,La Paz,4012,"21,108",0.807,544,0.00544,15,0.00015,"37,350",0.2,0.22,0.7979999999999999,0.599,0.836,0.8170000000000001,0.593,0.54
100,9/30/2020,Arizona,AZ,Maricopa,4013,"4,485,414",0.22,141856,1.41856,3395,0.03395,"65,234",0.12,0.16,0.368,0.136,0.879,0.25,0.126,0.304
101,9/30/2020,Arizona,AZ,Mohave,4015,"212,181",0.475,4004,0.04004,226,0.00226,"45,129",0.13,0.19,0.722,0.753,0.684,0.413,0.44,0.221
103,9/30/2020,Arizona,AZ,Pima,4019,"1,047,279",0.298,25628,0.25628,620,0.0062,"53,395",0.11,0.17,0.493,0.341,0.893,0.506,0.13,0.20199999999999999
104,9/30/2020,Arizona,AZ,Pinal,4021,"462,789",0.547,10642,0.10642,208,0.00208,"58,848",0.11,0.2,0.627,0.382,0.871,0.172,0.141,0.716
105,9/30/2020,Arizona,AZ,Santa Cruz,4023,"46,498",0.758,2849,0.02849,63,0.00063,"40,545",0.14,0.27,0.894,0.61,0.995,0.43200000000000005,0.009000000000000001,0.691
106,9/30/2020,Arizona,AZ,Yavapai,4025,"235,099",0.42200000000000004,2567,0.02567,82,0.00082,"48,758",0.13,0.15,0.46,0.382,0.611,0.469,0.29600000000000004,0.494
107,9/30/2020,Arizona,AZ,Yuma,4027,"213,787",0.562,12730,0.1273,345,0.00345,"44,116",0.14,0.23,0.862,0.3,0.9790000000000001,0.637,0.055999999999999994,0.386
108,9/30/2020,Arkansas,AR,Arkansas,5001,"17,486",0.8590000000000001,426,0.00426,9,9e-05,"43,887",0.09,0.23,0.728,0.912,0.40700000000000003,0.605,0.87,0.7040000000000001
110,9/30/2020,Arkansas,AR,Baxter,5005,"41,932",0.228,366,0.00366,2,2e-05,"39,686",0.08,0.19,0.451,0.64,0.087,0.40299999999999997,0.5770000000000001,0.163
112,9/30/2020,Arkansas,AR,Boone,5009,"37,432",0.231,752,0.00752,13,0.00013,"44,482",0.09,0.21,0.5489999999999999,0.828,0.049,0.401,0.5379999999999999,0.114
127,9/30/2020,Arkansas,AR,Dallas,5039,"7,009",0.7959999999999999,166,0.00166,5,5e-05,"37,259",0.08,0.23,0.7040000000000001,0.96,0.626,0.8109999999999999,0.354,0.604
128,9/30/2020,Arkansas,AR,Desha,5041,"11,361",0.987,300,0.003,6,6e-05,"36,132",0.1,0.32,0.972,0.9570000000000001,0.868,0.675,0.795,0.733
129,9/30/2020,Arkansas,AR,Drew,5043,"18,219",0.76,359,0.00359,7,7e-05,"42,494",0.08,0.25,0.755,0.529,0.496,0.5920000000000001,0.67,0.602
130,9/30/2020,Arkansas,AR,Faulkner,5045,"126,007",0.193,2566,0.02566,20,0.0002,"53,882",0.08,0.21,0.41200000000000003,0.183,0.502,0.222,0.24,0.405
133,9/30/2020,Arkansas,AR,Garland,5051,"99,386",0.5589999999999999,1949,0.01949,53,0.00053,"43,610",0.1,0.2,0.5820000000000001,0.8540000000000001,0.523,0.642,0.747,0.188
135,9/30/2020,Arkansas,AR,Greene,5055,"45,325",0.401,909,0.00909,10,0.0001,"46,512",0.07,0.2,0.674,0.888,0.11199999999999999,0.522,0.047,0.648
136,9/30/2020,Arkansas,AR,Hempstead,5057,"21,532",0.7979999999999999,382,0.00382,4,4e-05,"38,682",0.11,0.27,0.784,0.955,0.9,0.524,0.607,0.418
137,9/30/2020,Arkansas,AR,Hot Spring,5059,"33,771",0.747,1921,0.01921,27,0.00027,"47,205",0.08,0.2,0.765,0.863,0.4,0.293,0.636,0.653
138,9/30/2020,Arkansas,AR,Howard,5061,"13,202",0.8420000000000001,485,0.00485,12,0.00012,"40,199",0.12,0.26,0.715,0.9790000000000001,0.889,0.894,0.063,0.885
139,9/30/2020,Arkansas,AR,Independence,5063,"37,825",0.415,1148,0.01148,21,0.00021,"45,596",0.08,0.23,0.63,0.812,0.429,0.684,0.3,0.28600000000000003
140,9/30/2020,Arkansas,AR,Izard,5065,"13,629",0.747,253,0.00253,0,0.0,"37,828",0.1,0.2,0.8640000000000001,0.365,0.147,0.765,0.5660000000000001,0.8690000000000001
144,9/30/2020,Arkansas,AR,Lafayette,5073,"6,624",0.9670000000000001,117,0.00117,2,2e-05,"35,527",0.11,0.25,0.7759999999999999,0.965,0.6970000000000001,0.958,0.473,0.9259999999999999
145,9/30/2020,Arkansas,AR,Lawrence,5075,"16,406",0.88,461,0.00461,12,0.00012,"40,308",0.08,0.21,0.8370000000000001,0.914,0.125,0.28300000000000003,0.9279999999999999,0.9109999999999999
146,9/30/2020,Arkansas,AR,Lee,5077,"8,857",0.956,1065,0.01065,18,0.00018,"28,080",0.09,0.29,0.985,0.67,0.754,0.745,0.7959999999999999,0.9309999999999999
148,9/30/2020,Arkansas,AR,Little River,5081,"12,259",0.856,362,0.00362,26,0.00026,"43,559",0.09,0.24,0.674,0.907,0.381,0.59,0.755,0.8420000000000001
150,9/30/2020,Arkansas,AR,Lonoke,5085,"73,309",0.49,1230,0.0123,17,0.00017,"56,651",0.07,0.19,0.39299999999999996,0.384,0.39399999999999996,0.212,0.38299999999999995,0.905
153,9/30/2020,Arkansas,AR,Miller,5091,"43,257",0.889,857,0.00857,11,0.00011,"42,162",0.08,0.23,0.738,0.841,0.431,0.74,0.813,0.917
154,9/30/2020,Arkansas,AR,Mississippi,5093,"40,651",0.976,1708,0.01708,51,0.00051,"36,718",0.08,0.27,0.91,0.958,0.731,0.805,0.8690000000000001,0.7709999999999999
155,9/30/2020,Arkansas,AR,Monroe,5095,"6,701",0.986,135,0.00135,0,0.0,"32,922",0.08,0.28,0.9059999999999999,0.988,0.593,0.88,0.9329999999999999,0.932
157,9/30/2020,Arkansas,AR,Nevada,5099,"8,252",0.9059999999999999,224,0.00224,13,0.00013,"37,626",0.08,0.26,0.846,0.938,0.44799999999999995,0.727,0.6559999999999999,0.905
159,9/30/2020,Arkansas,AR,Ouachita,5103,"23,382",0.6679999999999999,269,0.00269,6,6e-05,"37,624",0.07,0.27,0.8420000000000001,0.708,0.5820000000000001,0.5539999999999999,0.768,0.29100000000000004
161,9/30/2020,Arkansas,AR,Phillips,5107,"17,782",0.9359999999999999,515,0.00515,12,0.00012,"29,945",0.07,0.33,0.968,0.998,0.743,0.406,0.943,0.366
162,9/30/2020,Arkansas,AR,Pike,5109,"10,718",0.785,234,0.00234,3,3e-05,"41,534",0.12,0.22,0.684,0.946,0.5539999999999999,0.8490000000000001,0.198,0.9109999999999999
164,9/30/2020,Arkansas,AR,Polk,5113,"19,964",0.7020000000000001,268,0.00268,4,4e-05,"39,048",0.13,0.24,0.904,0.96,0.424,0.679,0.483,0.40399999999999997
165,9/30/2020,Arkansas,AR,Pope,5115,"64,072",0.727,2166,0.02166,33,0.00033,"45,788",0.11,0.22,0.733,0.588,0.5539999999999999,0.431,0.638,0.613
166,9/30/2020,Arkansas,AR,Prairie,5117,"8,062",0.9259999999999999,154,0.00154,2,2e-05,"43,245",0.09,0.22,0.7290000000000001,0.777,0.177,0.935,0.8220000000000001,0.925
167,9/30/2020,Arkansas,AR,Pulaski,5119,"391,911",0.521,9509,0.09509,153,0.00153,"49,957",0.08,0.19,0.36700000000000005,0.479,0.797,0.268,0.9790000000000001,0.16699999999999998
168,9/30/2020,Arkansas,AR,Randolph,5121,"17,958",0.897,442,0.00442,22,0.00022,"37,799",0.09,0.22,0.7120000000000001,0.9890000000000001,0.149,0.774,0.883,0.7120000000000001
169,9/30/2020,Arkansas,AR,Saline,5125,"122,437",0.501,2130,0.0213,23,0.00023,"63,677",0.08,0.15,0.21600000000000003,0.6409999999999999,0.434,0.322,0.423,0.759
173,9/30/2020,Arkansas,AR,Sevier,5133,"17,007",0.89,1207,0.01207,18,0.00018,"44,100",0.18,0.29,0.845,0.498,0.925,0.6409999999999999,0.35200000000000004,0.9259999999999999
174,9/30/2020,Arkansas,AR,Sharp,5135,"17,442",0.8740000000000001,239,0.00239,6,6e-05,"36,032",0.1,0.26,0.787,0.961,0.14400000000000002,0.84,0.591,0.8690000000000001
175,9/30/2020,Arkansas,AR,St. Francis,5123,"24,994",0.858,1542,0.01542,6,6e-05,"33,257",0.08,0.28,0.9359999999999999,0.495,0.753,0.8420000000000001,0.743,0.43
