,date,state,abbr,county,fips,population,ccvi score,cases,case rate,deaths,death rate,median income 2018,uninsured percent,fair or poor health percent,socioeconomic status,household composition and disability,minority status and language,housing type and transportation,epidemiological factors,healthcare system factors
280,9/30/2020,Colorado,CO,Mesa,8077,"154,210",0.102,643,0.00643,7,7e-05,"51,132",0.1,0.14,0.505,0.4,0.591,0.371,0.015,0.069
281,9/30/2020,Colorado,CO,Mineral,8079,769,0.301,20,0.0002,0,0.0,"60,210",0.1,0.12,0.021,0.252,0.35,0.13699999999999998,0.737,0.583
283,9/30/2020,Colorado,CO,Montezuma,8083,"26,183",0.215,141,0.00141,5,5e-05,"50,180",0.14,0.15,0.494,0.634,0.5589999999999999,0.525,0.075,0.253
284,9/30/2020,Colorado,CO,Montrose,8085,"42,758",0.218,385,0.00385,13,0.00013,"52,576",0.12,0.16,0.613,0.59,0.777,0.479,0.008,0.163
288,9/30/2020,Colorado,CO,Park,8093,"18,845",0.002,58,0.00058,1,1e-05,"72,121",0.09,0.11,0.039,0.009000000000000001,0.152,0.012,0.031,0.353
289,9/30/2020,Colorado,CO,Phillips,8095,"4,265",0.46299999999999997,33,0.00033,0,0.0,"52,367",0.13,0.14,0.142,0.172,0.831,0.9179999999999999,0.9,0.11699999999999999
291,9/30/2020,Colorado,CO,Prowers,8099,"12,172",0.731,94,0.00094,0,0.0,"42,455",0.14,0.17,0.755,0.927,0.917,0.919,0.035,0.473
294,9/30/2020,Colorado,CO,Rio Grande,8105,"11,267",0.7559999999999999,96,0.00096,2,2e-05,"44,171",0.14,0.17,0.855,0.804,0.9229999999999999,0.9470000000000001,0.048,0.52
296,9/30/2020,Colorado,CO,Saguache,8109,"6,824",0.428,111,0.00111,2,2e-05,"36,869",0.17,0.21,0.757,0.368,0.897,0.7440000000000001,0.039,0.34700000000000003
298,9/30/2020,Colorado,CO,San Miguel,8113,"8,179",0.004,94,0.00094,0,0.0,"69,458",0.12,0.12,0.015,0.005,0.515,0.033,0.0,0.34600000000000003
299,9/30/2020,Colorado,CO,Sedgwick,8115,"2,248",0.386,15,0.00015,1,1e-05,"40,009",0.12,0.15,0.674,0.955,0.601,0.968,0.055999999999999994,0.133
301,9/30/2020,Colorado,CO,Teller,8119,"25,388",0.037000000000000005,177,0.00177,4,4e-05,"64,850",0.08,0.1,0.11699999999999999,0.191,0.39799999999999996,0.11599999999999999,0.004,0.37
303,9/30/2020,Colorado,CO,Weld,8123,"324,492",0.106,4784,0.04784,151,0.00151,"75,629",0.09,0.14,0.257,0.102,0.8440000000000001,0.081,0.009000000000000001,0.32899999999999996
304,9/30/2020,Colorado,CO,Yuma,8125,"10,019",0.365,125,0.00125,1,1e-05,"53,253",0.13,0.15,0.38,0.644,0.9129999999999999,0.9520000000000001,0.012,0.209
305,9/30/2020,Connecticut,CT,Fairfield,9001,"943,332",0.151,20225,0.20225,1422,0.01422,"91,183",0.09,0.11,0.158,0.062,0.856,0.11900000000000001,0.574,0.062
306,9/30/2020,Connecticut,CT,Hartford,9003,"891,720",0.114,14801,0.14801,1437,0.01437,"73,037",0.05,0.13,0.23,0.14400000000000002,0.8420000000000001,0.183,0.209,0.022000000000000002
307,9/30/2020,Connecticut,CT,Litchfield,9005,"180,333",0.024,1884,0.01884,141,0.00141,"76,304",0.05,0.11,0.085,0.051,0.48700000000000004,0.051,0.2,0.11800000000000001
308,9/30/2020,Connecticut,CT,Middlesex,9007,"162,436",0.096,1599,0.01599,193,0.00193,"88,709",0.04,0.1,0.044000000000000004,0.057999999999999996,0.535,0.08,0.851,0.099
311,9/30/2020,Connecticut,CT,Tolland,9013,"150,721",0.017,1363,0.01363,67,0.00067,"89,584",0.04,0.1,0.077,0.028999999999999998,0.449,0.109,0.08,0.14
312,9/30/2020,Connecticut,CT,Windham,9015,"116,782",0.11800000000000001,997,0.00997,16,0.00016,"65,182",0.06,0.13,0.358,0.198,0.503,0.449,0.11699999999999999,0.198
314,9/30/2020,Delaware,DE,New Castle,10003,"558,753",0.196,10368,0.10368,312,0.00312,"69,562",0.06,0.17,0.256,0.109,0.826,0.138,0.718,0.037000000000000005
315,9/30/2020,Delaware,DE,Sussex,10005,"234,225",0.341,6791,0.06791,207,0.00207,"59,821",0.07,0.18,0.337,0.354,0.685,0.3,0.872,0.051
316,9/30/2020,Florida,FL,Alachua,12001,"269,043",0.136,8293,0.08293,60,0.0006,"51,026",0.12,0.18,0.41,0.063,0.774,0.48700000000000004,0.08199999999999999,0.29
317,9/30/2020,Florida,FL,Baker,12003,"29,210",0.92,1484,0.01484,13,0.00013,"52,804",0.12,0.2,0.6729999999999999,0.762,0.519,0.584,0.8420000000000001,0.956
319,9/30/2020,Florida,FL,Bradford,12007,"28,201",0.9309999999999999,1129,0.01129,9,9e-05,"45,075",0.13,0.23,0.853,0.7959999999999999,0.5920000000000001,0.9590000000000001,0.451,0.9470000000000001
320,9/30/2020,Florida,FL,Brevard,12009,"601,942",0.408,9049,0.09049,298,0.00298,"57,612",0.13,0.18,0.34299999999999997,0.321,0.6729999999999999,0.133,0.41600000000000004,0.552
321,9/30/2020,Florida,FL,Broward,12011,"1,952,778",0.605,77220,0.7722,1396,0.01396,"57,200",0.17,0.18,0.418,0.11699999999999999,0.9670000000000001,0.4,0.40399999999999997,0.594
329,9/30/2020,Florida,FL,Dixie,12029,"16,826",0.9279999999999999,835,0.00835,9,9e-05,"37,148",0.16,0.24,0.841,0.805,0.324,0.935,0.6579999999999999,0.9690000000000001
330,9/30/2020,Florida,FL,Duval,12031,"957,755",0.509,30548,0.30548,394,0.00394,"55,733",0.13,0.19,0.455,0.24600000000000002,0.856,0.408,0.371,0.51
331,9/30/2020,Florida,FL,Escambia,12033,"318,316",0.33799999999999997,12353,0.12353,235,0.00235,"50,644",0.11,0.19,0.42200000000000004,0.16699999999999998,0.7140000000000001,0.295,0.439,0.39799999999999996
332,9/30/2020,Florida,FL,Flagler,12035,"115,081",0.61,1751,0.01751,27,0.00027,"58,975",0.15,0.17,0.386,0.385,0.794,0.057999999999999996,0.524,0.841
336,9/30/2020,Florida,FL,Glades,12043,"13,811",0.9490000000000001,542,0.00542,4,4e-05,"38,680",0.26,0.21,0.9129999999999999,0.581,0.904,0.848,0.698,0.958
337,9/30/2020,Florida,FL,Gulf,12045,"13,639",0.823,875,0.00875,14,0.00014,"45,426",0.13,0.21,0.713,0.377,0.591,0.813,0.49200000000000005,0.9520000000000001
339,9/30/2020,Florida,FL,Hardee,12049,"26,937",0.95,1366,0.01366,11,0.00011,"39,169",0.2,0.27,0.919,0.53,0.961,0.946,0.207,0.9740000000000001
342,9/30/2020,Florida,FL,Highlands,12055,"106,221",0.855,2177,0.02177,89,0.00089,"39,994",0.18,0.21,0.764,0.625,0.875,0.7120000000000001,0.604,0.624
343,9/30/2020,Florida,FL,Hillsborough,12057,"1,471,968",0.504,42248,0.42248,646,0.00646,"58,361",0.14,0.2,0.41100000000000003,0.158,0.932,0.282,0.293,0.581
344,9/30/2020,Florida,FL,Holmes,12059,"19,617",0.8859999999999999,756,0.00756,8,8e-05,"38,040",0.16,0.24,0.9740000000000001,0.925,0.446,0.838,0.259,0.937
345,9/30/2020,Florida,FL,Indian River,12061,"159,923",0.28800000000000003,3254,0.03254,119,0.00119,"58,228",0.17,0.17,0.409,0.20199999999999999,0.6990000000000001,0.242,0.465,0.301
348,9/30/2020,Florida,FL,Lafayette,12067,"8,422",0.9640000000000001,1233,0.01233,12,0.00012,"42,689",0.2,0.21,0.963,0.423,0.917,0.9840000000000001,0.474,0.978
349,9/30/2020,Florida,FL,Lake,12069,"367,118",0.6629999999999999,7542,0.07542,193,0.00193,"52,447",0.16,0.17,0.466,0.456,0.757,0.307,0.804,0.494
350,9/30/2020,Florida,FL,Lee,12071,"770,577",0.684,20515,0.20515,468,0.00468,"56,343",0.19,0.18,0.41700000000000004,0.213,0.852,0.131,0.82,0.7190000000000001
355,9/30/2020,Florida,FL,Manatee,12081,"403,253",0.39,11579,0.11579,291,0.00291,"59,587",0.16,0.17,0.331,0.281,0.754,0.239,0.28800000000000003,0.562
358,9/30/2020,Florida,FL,Miami-Dade,12086,"2,716,940",0.8140000000000001,170399,1.70399,3280,0.0328,"52,043",0.2,0.24,0.65,0.11900000000000001,0.997,0.621,0.45299999999999996,0.7509999999999999
359,9/30/2020,Florida,FL,Monroe,12087,"74,228",0.7390000000000001,1847,0.01847,22,0.00022,"67,094",0.2,0.16,0.10300000000000001,0.057,0.853,0.8370000000000001,0.9840000000000001,0.7020000000000001
361,9/30/2020,Florida,FL,Okaloosa,12091,"210,738",0.32299999999999995,5035,0.05035,115,0.00115,"62,779",0.13,0.15,0.297,0.239,0.7020000000000001,0.301,0.145,0.5920000000000001
362,9/30/2020,Florida,FL,Okeechobee,12093,"42,168",0.929,1575,0.01575,27,0.00027,"42,258",0.22,0.24,0.879,0.514,0.907,0.648,0.643,0.84
363,9/30/2020,Florida,FL,Orange,12095,"1,393,452",0.5539999999999999,40328,0.40328,457,0.00457,"58,037",0.16,0.19,0.478,0.106,0.9590000000000001,0.249,0.42,0.5489999999999999
364,9/30/2020,Florida,FL,Osceola,12097,"375,751",0.872,12556,0.12556,153,0.00153,"50,473",0.16,0.24,0.693,0.41100000000000003,0.982,0.263,0.517,0.898
365,9/30/2020,Florida,FL,Palm Beach,12099,"1,496,770",0.4,46550,0.4655,1369,0.01369,"61,735",0.17,0.17,0.32299999999999995,0.138,0.9109999999999999,0.21600000000000003,0.425,0.44799999999999995
367,9/30/2020,Florida,FL,Pinellas,12103,"974,996",0.462,22181,0.22181,753,0.00753,"52,226",0.14,0.17,0.31,0.204,0.721,0.58,0.505,0.47100000000000003
368,9/30/2020,Florida,FL,Polk,12105,"724,777",0.857,20032,0.20032,531,0.00531,"51,354",0.16,0.21,0.637,0.521,0.8959999999999999,0.32799999999999996,0.7709999999999999,0.7659999999999999
369,9/30/2020,Florida,FL,Putnam,12107,"74,521",0.873,2141,0.02141,40,0.0004,"39,578",0.17,0.25,0.93,0.72,0.775,0.721,0.276,0.946
370,9/30/2020,Florida,FL,Santa Rosa,12113,"184,313",0.436,5354,0.05354,77,0.00077,"69,541",0.13,0.17,0.27399999999999997,0.364,0.495,0.157,0.324,0.9209999999999999
371,9/30/2020,Florida,FL,Sarasota,12115,"433,742",0.146,8189,0.08189,258,0.00258,"61,652",0.16,0.13,0.132,0.218,0.6,0.158,0.41700000000000004,0.24600000000000002
372,9/30/2020,Florida,FL,Seminole,12117,"471,826",0.602,9097,0.09097,214,0.00214,"67,187",0.1,0.16,0.214,0.055,0.866,0.083,0.846,0.909
373,9/30/2020,Florida,FL,St. Johns,12109,"264,672",0.126,5391,0.05391,70,0.0007,"81,925",0.11,0.13,0.07,0.121,0.478,0.054000000000000006,0.14400000000000002,0.67
374,9/30/2020,Florida,FL,St. Lucie,12111,"328,297",0.722,8091,0.08091,283,0.00283,"53,377",0.17,0.19,0.595,0.371,0.892,0.252,0.495,0.7390000000000001
375,9/30/2020,Florida,FL,Sumter,12119,"132,420",0.364,2313,0.02313,70,0.0007,"55,324",0.12,0.14,0.115,0.18600000000000003,0.41,0.111,0.649,0.833
376,9/30/2020,Florida,FL,Suwannee,12121,"44,417",0.963,2739,0.02739,71,0.00071,"38,525",0.17,0.24,0.825,0.9109999999999999,0.7090000000000001,0.86,0.7070000000000001,0.9790000000000001
377,9/30/2020,Florida,FL,Taylor,12123,"21,569",0.934,1329,0.01329,13,0.00013,"42,307",0.15,0.24,0.8190000000000001,0.499,0.606,0.971,0.737,0.755
379,9/30/2020,Florida,FL,Volusia,12127,"553,284",0.46399999999999997,10945,0.10945,249,0.00249,"50,285",0.15,0.18,0.457,0.396,0.667,0.161,0.485,0.508
380,9/30/2020,Florida,FL,Wakulla,12129,"33,739",0.607,1142,0.01142,10,0.0001,"58,203",0.12,0.17,0.501,0.319,0.402,0.618,0.39399999999999996,0.9440000000000001
383,9/30/2020,Georgia,GA,Appling,13001,"18,386",0.9179999999999999,1040,0.0104,29,0.00029,"42,781",0.19,0.22,0.898,0.904,0.8190000000000001,0.9209999999999999,0.318,0.8290000000000001
386,9/30/2020,Georgia,GA,Baker,13007,"3,038",0.963,84,0.00084,4,4e-05,"38,288",0.19,0.2,0.735,0.7,0.8009999999999999,0.647,0.815,0.966
388,9/30/2020,Georgia,GA,Banks,13011,"19,234",0.623,488,0.00488,8,8e-05,"55,384",0.19,0.17,0.767,0.564,0.634,0.107,0.18100000000000002,0.955
389,9/30/2020,Georgia,GA,Barrow,13013,"83,240",0.522,2219,0.02219,48,0.00048,"61,413",0.17,0.17,0.585,0.39,0.795,0.032,0.205,0.9329999999999999
390,9/30/2020,Georgia,GA,Bartow,13015,"107,738",0.655,2938,0.02938,87,0.00087,"57,409",0.18,0.17,0.612,0.44,0.687,0.457,0.29600000000000004,0.907
391,9/30/2020,Georgia,GA,Ben Hill,13017,"16,700",0.7759999999999999,791,0.00791,24,0.00024,"35,020",0.16,0.24,0.85,0.818,0.672,0.6559999999999999,0.514,0.523
393,9/30/2020,Georgia,GA,Bibb,13021,"153,159",0.748,6089,0.06089,171,0.00171,"41,390",0.14,0.21,0.723,0.583,0.7979999999999999,0.418,0.9670000000000001,0.316
396,9/30/2020,Georgia,GA,Brooks,13027,"15,457",0.958,523,0.00523,26,0.00026,"36,354",0.19,0.22,0.909,0.539,0.8340000000000001,0.815,0.757,0.927
398,9/30/2020,Georgia,GA,Bulloch,13031,"79,608",0.495,2890,0.0289,28,0.00028,"43,766",0.17,0.21,0.785,0.259,0.615,0.741,0.07200000000000001,0.6659999999999999
399,9/30/2020,Georgia,GA,Burke,13033,"22,383",0.805,813,0.00813,10,0.0001,"42,785",0.15,0.24,0.8240000000000001,0.659,0.732,0.435,0.336,0.9009999999999999
400,9/30/2020,Georgia,GA,Butts,13035,"24,936",0.795,661,0.00661,42,0.00042,"48,831",0.15,0.2,0.847,0.335,0.61,0.6890000000000001,0.526,0.92
423,9/30/2020,Georgia,GA,Dade,13083,"16,116",0.41600000000000004,286,0.00286,5,5e-05,"48,779",0.15,0.16,0.66,0.20800000000000002,0.23199999999999998,0.924,0.092,0.7190000000000001
425,9/30/2020,Georgia,GA,DeKalb,13089,"759,297",0.534,18859,0.18859,367,0.00367,"63,477",0.16,0.16,0.47200000000000003,0.126,0.919,0.371,0.35200000000000004,0.5660000000000001
426,9/30/2020,Georgia,GA,Decatur,13087,"26,404",0.9129999999999999,1165,0.01165,29,0.00029,"38,441",0.18,0.2,0.8270000000000001,0.862,0.633,0.9129999999999999,0.7440000000000001,0.58
427,9/30/2020,Georgia,GA,Dodge,13091,"20,605",0.861,431,0.00431,12,0.00012,"35,636",0.17,0.21,0.878,0.6940000000000001,0.662,0.955,0.59,0.47600000000000003
430,9/30/2020,Georgia,GA,Douglas,13097,"146,343",0.696,3595,0.03595,71,0.00071,"60,512",0.14,0.18,0.552,0.312,0.885,0.122,0.414,0.9390000000000001
432,9/30/2020,Georgia,GA,Echols,13101,"4,006",0.6579999999999999,241,0.00241,2,2e-05,"38,667",0.28,0.22,0.861,0.267,0.884,0.262,0.071,0.9670000000000001
433,9/30/2020,Georgia,GA,Effingham,13103,"64,296",0.317,1453,0.01453,23,0.00023,"65,793",0.14,0.14,0.27,0.24,0.55,0.10099999999999999,0.18,0.878
435,9/30/2020,Georgia,GA,Emanuel,13107,"22,646",0.9540000000000001,1064,0.01064,32,0.00032,"37,574",0.16,0.24,0.956,0.9109999999999999,0.7709999999999999,0.948,0.588,0.585
436,9/30/2020,Georgia,GA,Evans,13109,"10,654",0.9790000000000001,430,0.0043,6,6e-05,"37,319",0.17,0.22,0.943,0.976,0.9259999999999999,0.7559999999999999,0.615,0.7829999999999999
438,9/30/2020,Georgia,GA,Fayette,13113,"114,421",0.10800000000000001,1877,0.01877,50,0.0005,"95,021",0.1,0.13,0.039,0.107,0.7440000000000001,0.016,0.374,0.429
439,9/30/2020,Georgia,GA,Floyd,13115,"98,498",0.698,3219,0.03219,45,0.00045,"44,906",0.18,0.19,0.715,0.55,0.748,0.5579999999999999,0.733,0.39399999999999996
440,9/30/2020,Georgia,GA,Forsyth,13117,"244,252",0.086,4114,0.04114,46,0.00046,"105,921",0.12,0.13,0.033,0.024,0.784,0.006999999999999999,0.09699999999999999,0.79
443,9/30/2020,Georgia,GA,Gilmer,13123,"31,369",0.88,827,0.00827,12,0.00012,"47,757",0.22,0.17,0.6859999999999999,0.589,0.6659999999999999,0.621,0.9109999999999999,0.862
444,9/30/2020,Georgia,GA,Glascock,13125,"2,971",0.815,39,0.00039,2,2e-05,"42,820",0.15,0.17,0.732,0.557,0.441,0.9890000000000001,0.28600000000000003,0.873
448,9/30/2020,Georgia,GA,Greene,13133,"18,324",0.46,509,0.00509,24,0.00024,"54,016",0.2,0.21,0.5589999999999999,0.43799999999999994,0.715,0.39299999999999996,0.036000000000000004,0.74
450,9/30/2020,Georgia,GA,Habersham,13137,"45,328",0.684,1674,0.01674,67,0.00067,"51,829",0.19,0.18,0.64,0.395,0.7809999999999999,0.619,0.20199999999999999,0.897
451,9/30/2020,Georgia,GA,Hall,13139,"204,441",0.335,9373,0.09373,154,0.00154,"61,631",0.22,0.18,0.466,0.23,0.903,0.384,0.13699999999999998,0.37
452,9/30/2020,Georgia,GA,Hancock,13141,"8,457",0.945,394,0.00394,42,0.00042,"31,716",0.16,0.27,0.877,0.142,0.8240000000000001,0.925,0.8370000000000001,0.847
454,9/30/2020,Georgia,GA,Harris,13145,"35,236",0.452,799,0.00799,22,0.00022,"74,686",0.11,0.13,0.226,0.49,0.401,0.196,0.397,0.882
456,9/30/2020,Georgia,GA,Heard,13149,"11,923",0.7240000000000001,197,0.00197,5,5e-05,"46,218",0.15,0.18,0.8009999999999999,0.6890000000000001,0.47700000000000004,0.628,0.325,0.888
461,9/30/2020,Georgia,GA,Jasper,13159,"14,219",0.852,222,0.00222,4,4e-05,"51,241",0.18,0.2,0.875,0.7040000000000001,0.594,0.5710000000000001,0.48200000000000004,0.9109999999999999
462,9/30/2020,Georgia,GA,Jeff Davis,13161,"15,115",0.91,724,0.00724,20,0.0002,"37,211",0.19,0.21,0.9,0.9520000000000001,0.835,0.835,0.22399999999999998,0.7490000000000001
464,9/30/2020,Georgia,GA,Jenkins,13165,"8,676",0.981,429,0.00429,30,0.0003,"31,419",0.16,0.26,0.884,0.6679999999999999,0.9179999999999999,0.654,0.7659999999999999,0.863
466,9/30/2020,Georgia,GA,Jones,13169,"28,735",0.551,560,0.0056,9,9e-05,"55,737",0.13,0.17,0.59,0.669,0.358,0.12300000000000001,0.292,0.9359999999999999
467,9/30/2020,Georgia,GA,Lamar,13171,"19,077",0.65,372,0.00372,18,0.00018,"48,323",0.15,0.19,0.887,0.11699999999999999,0.45799999999999996,0.45,0.456,0.932
468,9/30/2020,Georgia,GA,Lanier,13173,"10,423",0.8490000000000001,295,0.00295,5,5e-05,"41,564",0.16,0.21,0.9620000000000001,0.884,0.519,0.8370000000000001,0.215,0.867
469,9/30/2020,Georgia,GA,Laurens,13175,"47,546",0.531,1661,0.01661,75,0.00075,"42,114",0.15,0.24,0.752,0.662,0.569,0.452,0.46399999999999997,0.36700000000000005
470,9/30/2020,Georgia,GA,Lee,13177,"29,992",0.72,700,0.007,26,0.00026,"66,090",0.13,0.15,0.544,0.221,0.493,0.244,0.8220000000000001,0.9329999999999999
473,9/30/2020,Georgia,GA,Long,13183,"19,559",0.856,252,0.00252,3,3e-05,"46,428",0.16,0.2,0.9279999999999999,0.904,0.857,0.507,0.08199999999999999,0.9690000000000001
474,9/30/2020,Georgia,GA,Lowndes,13185,"117,406",0.466,3920,0.0392,82,0.00082,"41,820",0.17,0.21,0.748,0.138,0.737,0.565,0.331,0.46299999999999997
479,9/30/2020,Georgia,GA,McDuffie,13189,"21,312",0.937,605,0.00605,14,0.00014,"42,768",0.15,0.21,0.8909999999999999,0.857,0.6890000000000001,0.6890000000000001,0.648,0.887
480,9/30/2020,Georgia,GA,McIntosh,13191,"14,378",0.816,293,0.00293,7,7e-05,"42,513",0.16,0.19,0.722,0.8190000000000001,0.5329999999999999,0.29,0.606,0.932
481,9/30/2020,Georgia,GA,Meriwether,13199,"21,167",0.938,546,0.00546,13,0.00013,"38,886",0.16,0.22,0.893,0.937,0.598,0.588,0.774,0.742
482,9/30/2020,Georgia,GA,Miller,13201,"5,718",0.848,266,0.00266,1,1e-05,"42,483",0.17,0.2,0.773,0.713,0.38299999999999995,0.7490000000000001,0.735,0.809
483,9/30/2020,Georgia,GA,Mitchell,13205,"21,863",0.977,811,0.00811,45,0.00045,"36,788",0.18,0.23,0.9840000000000001,0.6920000000000001,0.8759999999999999,0.858,0.486,0.9470000000000001
484,9/30/2020,Georgia,GA,Monroe,13207,"27,578",0.826,699,0.00699,52,0.00052,"59,362",0.14,0.15,0.563,0.17,0.578,0.8590000000000001,0.9570000000000001,0.9259999999999999
488,9/30/2020,Georgia,GA,Muscogee,13215,"195,769",0.6609999999999999,6048,0.06048,170,0.0017,"46,628",0.13,0.21,0.623,0.583,0.825,0.18600000000000003,0.9490000000000001,0.281
490,9/30/2020,Georgia,GA,Oconee,13219,"40,280",0.16699999999999998,761,0.00761,26,0.00026,"99,497",0.12,0.13,0.019,0.20199999999999999,0.5329999999999999,0.039,0.163,0.903
491,9/30/2020,Georgia,GA,Oglethorpe,13221,"15,259",0.7909999999999999,335,0.00335,11,0.00011,"51,105",0.19,0.17,0.711,0.507,0.764,0.48,0.35700000000000004,0.9490000000000001
492,9/30/2020,Georgia,GA,Paulding,13223,"168,667",0.23199999999999998,2806,0.02806,54,0.00054,"73,309",0.13,0.15,0.294,0.091,0.607,0.017,0.157,0.961
493,9/30/2020,Georgia,GA,Peach,13225,"27,546",0.888,670,0.0067,24,0.00024,"46,525",0.17,0.2,0.821,0.696,0.8270000000000001,0.632,0.507,0.96
494,9/30/2020,Georgia,GA,Pickens,13227,"32,591",0.455,619,0.00619,10,0.0001,"65,062",0.18,0.13,0.465,0.237,0.27699999999999997,0.493,0.42200000000000004,0.74
495,9/30/2020,Georgia,GA,Pierce,13229,"19,465",0.748,612,0.00612,20,0.0002,"44,389",0.16,0.18,0.802,0.9,0.527,0.33399999999999996,0.192,0.9740000000000001
496,9/30/2020,Georgia,GA,Pike,13231,"18,962",0.325,333,0.00333,10,0.0001,"66,901",0.14,0.14,0.5920000000000001,0.079,0.188,0.278,0.22,0.945
497,9/30/2020,Georgia,GA,Polk,13233,"42,613",0.8490000000000001,1490,0.0149,18,0.00018,"43,679",0.19,0.2,0.777,0.745,0.758,0.42,0.524,0.9670000000000001
498,9/30/2020,Georgia,GA,Pulaski,13235,"11,137",0.848,313,0.00313,22,0.00022,"40,582",0.16,0.21,0.841,0.647,0.48,0.898,0.9259999999999999,0.447
499,9/30/2020,Georgia,GA,Putnam,13237,"22,119",0.542,695,0.00695,25,0.00025,"51,205",0.19,0.19,0.521,0.313,0.6809999999999999,0.243,0.26,0.882
502,9/30/2020,Georgia,GA,Randolph,13243,"6,778",0.995,331,0.00331,29,0.00029,"28,298",0.16,0.28,0.966,0.9940000000000001,0.62,0.9740000000000001,0.863,0.81
503,9/30/2020,Georgia,GA,Richmond,13245,"202,518",0.415,7147,0.07147,162,0.00162,"40,168",0.14,0.21,0.826,0.47700000000000004,0.828,0.486,0.19899999999999998,0.19899999999999998
504,9/30/2020,Georgia,GA,Rockdale,13247,"90,896",0.726,1865,0.01865,37,0.00037,"59,673",0.16,0.21,0.579,0.26899999999999996,0.914,0.069,0.642,0.856
507,9/30/2020,Georgia,GA,Seminole,13253,"8,090",0.898,361,0.00361,9,9e-05,"36,869",0.16,0.21,0.836,0.866,0.598,0.7759999999999999,0.754,0.755
508,9/30/2020,Georgia,GA,Spalding,13255,"66,703",0.86,1341,0.01341,61,0.00061,"43,510",0.16,0.21,0.7809999999999999,0.84,0.609,0.665,0.836,0.605
509,9/30/2020,Georgia,GA,Stephens,13257,"25,925",0.6409999999999999,1083,0.01083,38,0.00038,"45,850",0.16,0.18,0.855,0.547,0.537,0.479,0.375,0.584
511,9/30/2020,Georgia,GA,Sumter,13261,"29,524",0.9690000000000001,934,0.00934,62,0.00062,"37,562",0.17,0.25,0.955,0.6809999999999999,0.899,0.9520000000000001,0.682,0.594
514,9/30/2020,Georgia,GA,Tattnall,13267,"25,286",0.9540000000000001,840,0.0084,11,0.00011,"41,440",0.19,0.22,0.8009999999999999,0.41600000000000004,0.838,0.9670000000000001,0.539,0.9590000000000001
515,9/30/2020,Georgia,GA,Taylor,13269,"8,020",0.987,213,0.00213,11,0.00011,"36,310",0.16,0.24,0.976,0.738,0.596,0.97,0.731,0.966
516,9/30/2020,Georgia,GA,Telfair,13271,"15,860",0.934,391,0.00391,19,0.00019,"34,297",0.16,0.25,0.8340000000000001,0.085,0.9279999999999999,0.965,0.605,0.961
517,9/30/2020,Georgia,GA,Terrell,13273,"8,531",0.982,329,0.00329,32,0.00032,"35,290",0.18,0.26,0.963,0.94,0.6629999999999999,0.7390000000000001,0.9209999999999999,0.9490000000000001
518,9/30/2020,Georgia,GA,Thomas,13275,"44,451",0.8540000000000001,1497,0.01497,64,0.00064,"41,642",0.16,0.2,0.789,0.9540000000000001,0.748,0.82,0.742,0.33899999999999997
520,9/30/2020,Georgia,GA,Toombs,13279,"26,830",0.971,1331,0.01331,49,0.00049,"37,148",0.19,0.23,0.9179999999999999,0.941,0.888,0.929,0.52,0.667
521,9/30/2020,Georgia,GA,Towns,13281,"12,037",0.611,341,0.00341,9,9e-05,"45,853",0.17,0.15,0.618,0.441,0.067,0.529,0.677,0.6970000000000001
523,9/30/2020,Georgia,GA,Troup,13285,"69,922",0.8270000000000001,2822,0.02822,100,0.001,"45,234",0.15,0.19,0.821,0.748,0.763,0.6459999999999999,0.7240000000000001,0.47700000000000004
524,9/30/2020,Georgia,GA,Turner,13287,"7,985",0.996,306,0.00306,24,0.00024,"33,261",0.18,0.22,0.934,0.9690000000000001,0.8170000000000001,0.983,0.8690000000000001,0.9590000000000001
525,9/30/2020,Georgia,GA,Twiggs,13289,"8,120",0.9470000000000001,197,0.00197,7,7e-05,"42,054",0.17,0.23,0.94,0.82,0.511,0.408,0.76,0.955
528,9/30/2020,Georgia,GA,Walker,13295,"69,761",0.5329999999999999,1569,0.01569,36,0.00036,"43,767",0.15,0.18,0.745,0.682,0.218,0.311,0.162,0.9259999999999999
530,9/30/2020,Georgia,GA,Ware,13299,"35,734",0.611,1509,0.01509,60,0.0006,"38,357",0.16,0.22,0.672,0.757,0.511,0.664,0.556,0.39899999999999997
533,9/30/2020,Georgia,GA,Wayne,13305,"29,927",0.8079999999999999,1140,0.0114,30,0.0003,"44,607",0.15,0.2,0.865,0.546,0.7290000000000001,0.73,0.5529999999999999,0.585
534,9/30/2020,Georgia,GA,Webster,13307,"2,607",0.958,43,0.00043,2,2e-05,"38,187",0.16,0.2,0.6990000000000001,0.965,0.9059999999999999,0.20600000000000002,0.6759999999999999,0.951
535,9/30/2020,Georgia,GA,Wheeler,13309,"7,855",0.8859999999999999,336,0.00336,11,0.00011,"32,691",0.16,0.25,0.9890000000000001,0.025,0.703,0.995,0.429,0.9279999999999999
536,9/30/2020,Georgia,GA,White,13311,"30,798",0.44,848,0.00848,19,0.00019,"51,579",0.17,0.15,0.508,0.331,0.303,0.131,0.358,0.909
537,9/30/2020,Georgia,GA,Whitfield,13313,"104,628",0.649,4625,0.04625,60,0.0006,"47,074",0.23,0.23,0.8140000000000001,0.289,0.924,0.787,0.142,0.521
538,9/30/2020,Georgia,GA,Wilcox,13315,"8,635",0.937,247,0.00247,20,0.0002,"35,961",0.17,0.22,0.8809999999999999,0.2,0.79,0.809,0.752,0.973
