date,state,abbr,county,fips,population,ccvi score,cases,case rate,deaths,death rate,median income 2018,uninsured percent,fair or poor health percent,socioeconomic status,household composition and disability,minority status and language,housing type and transportation,epidemiological factors,healthcare system factors
9/30/2020,Florida,FL,Highlands,12055,,0.855,2177,0.02177,89,0.00089,39994,0.185,0.21,0.764,0.625,0.875,0.7120000000000001,0.604,0.624
9/30/2020,Florida,FL,Hillsborough,12057,,0.504,42248,0.42248,646,0.00646,58361,0.14300000000000002,0.2,0.41100000000000003,0.158,0.932,0.282,0.293,0.581
9/30/2020,Florida,FL,Holmes,12059,,0.8859999999999999,756,0.00756,8,8e-05,38040,0.157,0.24,0.9740000000000001,0.925,0.446,0.838,0.259,0.937
9/30/2020,Florida,FL,Indian River,12061,,0.28800000000000003,3254,0.03254,119,0.00119,58228,0.16899999999999998,0.17,0.409,0.20199999999999999,0.6990000000000001,0.242,0.465,0.301
9/30/2020,Florida,FL,Jackson,12063,,0.943,2833,0.02833,80,0.0008,39545,0.152,0.23,0.903,0.589,0.773,0.8740000000000001,0.629,0.9129999999999999
9/30/2020,Florida,FL,Jefferson,12065,,0.8190000000000001,560,0.0056,9,9e-05,46332,0.136,0.2,0.624,0.316,0.698,0.475,0.713,0.951
9/30/2020,Florida,FL,Lafayette,12067,,0.9640000000000001,1233,0.01233,12,0.00012,42689,0.198,0.21,0.963,0.423,0.917,0.9840000000000001,0.474,0.978
9/30/2020,Florida,FL,Lake,12069,,0.6629999999999999,7542,0.07542,193,0.00193,52447,0.155,0.17,0.466,0.456,0.757,0.307,0.804,0.494
9/30/2020,Florida,FL,Lee,12071,,0.684,20515,0.20515,468,0.00468,56343,0.18600000000000003,0.18,0.41700000000000004,0.213,0.852,0.131,0.82,0.7190000000000001
9/30/2020,Florida,FL,Leon,12073,,0.17,10644,0.10644,77,0.00077,51046,0.10800000000000001,0.16,0.37200000000000005,0.067,0.7340000000000001,0.218,0.049,0.527
